menu_id,food_id,mark
933973,100,10
933973,74,9
933973,48,4
691822,81,7
691822,98,4
375013,76,8
375013,6,5
257303,13,7
257303,75,8
257303,13,6
558798,34,4
558798,14,6
558798,38,6
449515,9,7
449515,27,6
403535,42,3
403535,103,5
403535,27,10
142229,98,7
142229,19,5
142229,19,7
928123,62,9
928123,16,8
928123,67,7
960069,86,6
960069,107,9
960069,9,6
342222,19,6
342222,7,5
342222,53,10
342222,109,9
752989,62,9
752989,47,6
752989,34,9
598194,14,9
598194,16,8
598194,19,3
360333,64,6
360333,89,7
574995,11,9
574995,107,7
574995,46,9
335127,105,4
335127,33,8
335127,72,9
335127,16,5
973599,104,3
973599,11,5
973599,39,9
973599,55,7
604981,22,6
604981,69,7
604981,81,4
348922,31,9
348922,64,7
348922,82,4
348922,9,4
245038,54,7
245038,60,9
810137,36,9
810137,63,9
810137,57,9
810137,64,7
525645,2,4
525645,108,5
747474,6,5
747474,71,5
747474,24,8
810734,64,6
810734,33,7
703621,80,8
703621,87,10
703621,82,7
703621,58,10
912872,97,4
912872,92,9
912872,94,10
912872,109,8
417526,90,9
417526,23,8
417526,1,9
417526,96,5
324718,68,9
324718,6,10
324718,61,8
885992,33,10
885992,97,7
885992,88,3
885992,41,3
734945,34,6
734945,65,6
734945,67,3
734945,102,9
222814,66,6
222814,19,10
222814,51,5
222814,49,8
773022,67,10
773022,37,9
773022,39,9
776950,56,8
776950,36,5
776950,104,9
976079,76,4
976079,49,8
976079,9,9
535683,69,9
535683,94,3
535683,28,6
521034,51,7
521034,0,8
521034,7,7
187396,74,5
187396,23,3
187396,89,8
187396,77,4
535936,100,7
535936,80,6
962929,40,4
962929,109,4
677852,57,5
677852,38,5
677852,45,6
892867,47,7
892867,8,8
436235,71,4
436235,66,6
518551,90,7
518551,4,10
518551,7,9
518551,91,9
871295,90,6
871295,96,6
871295,71,5
871295,85,6
881909,16,5
881909,100,9
881909,62,3
701544,45,10
701544,103,9
701544,49,4
701544,13,3
390106,52,5
390106,23,5
132702,43,4
132702,89,3
132702,6,8
132702,105,3
990778,45,4
990778,26,6
990778,87,9
990778,96,7
995274,60,10
995274,0,10
777837,69,4
777837,93,4
777837,68,7
777837,59,9
628176,72,3
628176,2,9
628176,52,10
628176,26,8
247382,27,3
247382,85,6
932093,2,8
932093,18,3
932093,93,8
444110,56,8
444110,65,9
444110,16,9
444110,30,4
138591,48,4
138591,32,7
138591,62,10
689189,50,4
689189,37,4
689189,77,7
433475,63,5
433475,12,4
433475,66,8
633319,95,3
633319,50,10
633319,38,7
292148,55,8
292148,51,5
582133,22,10
582133,21,4
231867,93,4
231867,19,3
231867,86,9
231867,1,7
551714,28,9
551714,45,10
551714,33,7
551714,51,3
535182,68,6
535182,14,6
535182,17,4
490786,87,5
490786,31,3
934857,36,10
934857,73,7
747072,24,4
747072,23,10
413820,68,5
413820,14,4
413820,65,5
514099,80,7
514099,74,8
514099,63,6
900471,26,6
900471,104,7
900471,56,9
900471,77,4
794909,4,4
794909,33,3
439293,84,3
439293,108,3
439293,19,9
437746,74,6
437746,25,9
437746,24,6
960893,77,5
960893,57,4
960893,103,6
960893,104,6
978012,42,9
978012,84,8
742591,14,5
742591,57,8
742591,89,4
187482,17,9
187482,42,6
618374,12,5
618374,75,9
683942,5,3
683942,54,10
683942,67,6
951072,108,7
951072,9,5
951072,3,10
398840,41,8
398840,94,7
398840,52,7
398840,8,3
939072,23,3
939072,67,4
939072,83,7
757882,83,10
757882,85,6
757882,12,3
202366,72,7
202366,64,6
202366,93,3
587731,37,6
587731,53,8
587731,57,3
587731,2,10
993258,67,7
993258,20,3
834084,77,5
834084,55,9
834084,69,8
834084,8,8
103243,108,3
103243,103,4
103243,63,6
103243,75,5
475517,66,10
475517,49,10
475517,32,6
475517,36,4
659906,25,10
659906,47,6
720929,43,6
720929,20,10
246643,98,10
246643,104,7
178622,67,3
178622,2,3
666857,12,4
666857,88,4
666857,1,9
666857,18,9
961398,53,8
961398,28,10
961398,108,7
913414,92,4
913414,104,4
309004,88,5
309004,20,10
309004,53,5
309004,75,7
275517,70,8
275517,96,7
744060,60,6
744060,9,3
287592,69,3
287592,12,7
401949,41,9
401949,37,6
401949,40,6
401949,2,8
309351,108,5
309351,15,9
178739,50,3
178739,43,7
178739,18,5
606162,107,6
606162,65,7
606162,90,4
277656,25,9
277656,4,7
277656,79,7
719057,35,3
719057,43,4
719057,88,3
719057,66,4
137386,15,6
137386,31,4
883940,23,3
883940,21,4
377851,7,8
377851,59,3
719547,98,7
719547,93,10
135378,100,6
135378,73,4
822274,73,7
822274,34,5
822274,7,6
822274,1,10
185817,87,7
185817,21,4
185817,5,10
742566,46,6
742566,85,9
847200,69,5
847200,17,8
741100,11,4
741100,83,6
735391,106,4
735391,45,3
735391,52,10
735391,108,10
218684,50,6
218684,87,10
156620,83,8
156620,78,10
156620,43,9
156620,50,6
632511,74,3
632511,19,6
632511,71,10
531601,6,6
531601,65,4
531601,16,7
720150,67,9
720150,10,3
970713,102,10
970713,46,3
970713,61,6
970713,59,8
423934,98,7
423934,54,8
237859,72,10
237859,44,3
237859,94,8
237859,91,7
941204,43,10
941204,2,10
941204,64,10
941204,87,6
192668,108,3
192668,2,9
192668,24,6
549964,17,4
549964,21,7
549964,94,8
549964,55,7
189978,24,8
189978,19,5
189978,84,10
189978,48,4
754623,77,5
754623,1,9
754623,99,3
754623,36,7
398391,68,9
398391,98,3
398391,10,8
398391,78,3
841631,93,4
841631,102,5
841631,60,8
685327,104,6
685327,86,5
636299,82,9
636299,54,3
295659,61,6
295659,77,8
295659,19,4
486256,57,10
486256,74,10
486256,105,4
486256,62,6
261198,44,6
261198,66,6
261198,8,5
261198,59,9
213332,1,9
213332,71,5
213332,12,6
535215,62,5
535215,17,5
535215,58,3
532796,103,8
532796,16,6
636240,70,10
636240,63,5
435703,13,9
435703,36,8
321213,91,9
321213,52,8
321213,96,10
918377,75,10
918377,89,4
918377,69,7
918377,14,6
933900,29,3
933900,74,6
498381,42,7
498381,22,3
273801,94,6
273801,35,5
218190,17,7
218190,80,6
218190,106,6
694510,70,5
694510,13,6
304319,33,4
304319,15,10
304319,42,6
901825,92,6
901825,18,7
901825,109,7
403994,16,4
403994,57,3
775161,104,10
775161,56,3
775161,83,4
775161,98,8
731633,65,9
731633,42,4
731633,18,5
238591,46,6
238591,54,4
238591,44,10
943980,72,4
943980,73,10
646387,66,3
646387,18,5
290611,84,10
290611,51,9
290611,77,9
936969,7,7
936969,36,6
936969,80,3
615520,93,4
615520,25,10
615520,108,9
738389,0,5
738389,102,3
738389,43,6
738389,91,6
121908,51,10
121908,42,3
121908,8,9
408146,103,4
408146,4,3
408146,53,9
408146,13,8
404818,88,8
404818,35,6
527829,6,7
527829,47,6
527829,15,8
527829,46,4
917673,19,9
917673,6,8
917673,43,8
389353,73,9
389353,105,9
389353,15,5
665026,12,10
665026,59,8
633288,95,6
633288,36,5
633288,89,9
633288,81,6
316006,36,8
316006,25,7
316006,64,6
522454,16,3
522454,70,5
522454,83,4
652159,98,6
652159,63,7
652159,59,10
113871,43,9
113871,20,6
113871,99,5
327570,21,8
327570,74,4
327570,65,4
191099,62,7
191099,106,3
191099,77,9
220551,8,7
220551,8,4
874422,5,3
874422,95,3
874422,79,4
608969,36,6
608969,62,3
608969,44,9
191990,10,4
191990,61,3
819050,50,9
819050,28,7
563560,3,7
563560,5,10
563560,37,5
563560,71,10
160536,17,10
160536,106,3
389369,21,9
389369,101,8
798731,95,3
798731,92,8
798731,62,4
253498,45,8
253498,36,6
253498,31,6
853323,35,7
853323,2,10
853323,56,6
853323,98,7
869918,78,3
869918,9,3
961837,1,4
961837,34,3
961837,72,4
961837,109,6
698881,54,9
698881,74,3
698881,101,7
127568,102,6
127568,0,3
210920,24,8
210920,83,3
210920,31,9
357224,21,5
357224,15,3
306663,21,5
306663,74,6
306663,76,8
150103,26,3
150103,66,3
150103,79,5
150103,86,6
692565,7,9
692565,65,4
692565,57,6
164704,59,10
164704,56,3
595973,62,10
595973,35,8
595973,106,8
760099,30,10
760099,58,8
760099,32,3
839831,103,6
839831,86,7
839831,83,10
596374,0,6
596374,13,7
596374,44,4
596374,90,8
845655,6,7
845655,8,10
845655,104,4
845655,70,8
654146,89,7
654146,101,9
978568,108,10
978568,94,4
978568,101,8
978568,70,7
591907,75,8
591907,11,7
591907,25,4
591907,41,3
501298,95,6
501298,43,3
262245,63,4
262245,9,7
262245,23,10
112661,10,10
112661,17,6
112661,109,7
112661,10,4
332468,31,5
332468,1,7
332468,42,6
546721,32,4
546721,27,7
546721,31,7
480894,98,8
480894,27,8
480894,45,5
480894,16,7
221393,63,4
221393,56,6
221393,65,9
376125,85,6
376125,71,6
497945,91,3
497945,80,9
497945,43,6
575788,90,3
575788,101,9
575788,104,4
342007,55,9
342007,56,3
826754,19,3
826754,67,4
826754,45,3
826754,80,6
712271,12,3
712271,18,4
712271,3,3
318770,78,5
318770,18,4
318770,4,8
318770,70,9
192774,91,9
192774,2,8
146179,54,5
146179,25,9
996126,82,7
996126,24,7
996126,3,4
996126,78,7
431285,37,5
431285,80,4
431285,59,5
431285,81,4
349192,52,9
349192,46,6
468932,26,10
468932,52,3
468932,70,8
232696,96,5
232696,19,3
232696,102,9
232696,37,9
673156,55,6
673156,82,6
673156,70,4
673156,103,9
364982,10,9
364982,9,3
364982,29,9
197466,7,10
197466,78,3
197466,13,5
197466,77,4
287009,14,8
287009,24,5
287009,102,10
255943,32,9
255943,106,7
255943,81,7
255943,22,7
945737,18,3
945737,49,6
945737,88,7
281318,51,3
281318,4,6
248880,50,7
248880,96,7
248880,96,6
300376,41,10
300376,40,3
300376,109,5
300376,43,10
996513,22,4
996513,86,6
996513,3,3
996513,100,7
773005,76,7
773005,85,10
773005,101,3
776941,51,6
776941,57,8
776941,5,7
776941,27,8
476884,67,7
476884,26,5
476884,89,5
764048,96,4
764048,33,6
764048,39,4
253359,85,3
253359,57,9
330330,53,7
330330,4,4
915137,106,8
915137,14,7
915137,91,4
648992,82,7
648992,0,6
648992,104,3
648992,94,6
669519,68,3
669519,61,6
891675,23,7
891675,92,10
482338,29,6
482338,29,3
809456,58,9
809456,97,7
809456,12,9
250993,74,7
250993,48,7
250993,27,6
679504,10,6
679504,20,6
119714,70,6
119714,5,4
119714,12,9
119714,94,8
608122,80,8
608122,22,4
608122,99,6
608122,46,3
732957,47,8
732957,103,4
732957,44,4
878973,37,7
878973,56,10
933835,99,10
933835,109,5
933835,6,4
933835,26,9
171469,37,9
171469,64,4
993824,87,7
993824,45,7
993824,53,6
993824,108,4
385694,15,7
385694,31,3
778329,88,7
778329,20,8
778329,73,5
817747,73,10
817747,52,9
163121,75,10
163121,93,3
163121,15,6
309778,105,9
309778,97,4
309778,42,10
309778,14,7
962479,14,8
962479,25,4
243828,58,3
243828,1,9
243828,88,3
405099,102,7
405099,39,5
924224,32,5
924224,85,8
924224,54,5
779986,75,7
779986,94,9
779986,84,5
705019,75,7
705019,91,5
705019,20,5
734937,89,4
734937,47,7
360708,30,9
360708,100,5
360708,97,4
418422,52,3
418422,88,4
379941,46,8
379941,62,6
379941,100,9
379941,65,6
138730,52,10
138730,57,4
560109,77,4
560109,70,6
560109,99,5
560109,96,8
407003,6,9
407003,109,6
407003,67,5
724521,60,7
724521,94,6
724521,66,5
436965,29,8
436965,62,4
610670,66,6
610670,65,10
610670,81,7
440980,50,7
440980,77,6
240913,94,4
240913,104,10
240913,61,6
669262,109,6
669262,71,9
486956,18,8
486956,28,6
486956,93,8
486956,68,10
607749,16,4
607749,84,5
607749,98,4
607749,80,10
650617,73,9
650617,43,7
650617,92,10
650617,45,4
746997,100,3
746997,70,6
746997,35,7
746997,59,6
645889,4,4
645889,100,3
645889,62,4
645889,57,9
707670,109,9
707670,77,6
707670,3,8
707670,13,5
654079,87,3
654079,1,5
654079,58,4
654079,97,6
660461,5,5
660461,45,4
660461,3,8
922687,102,9
922687,108,7
922687,28,8
424916,39,9
424916,107,10
931017,46,5
931017,75,8
931017,48,4
354295,38,10
354295,75,6
354295,95,5
827358,4,5
827358,44,8
827358,98,4
602431,39,8
602431,75,8
602431,98,5
750592,79,3
750592,87,5
587325,91,10
587325,68,3
587325,1,3
485090,45,5
485090,65,8
485090,28,10
485090,8,3
982366,93,5
982366,39,5
982366,104,3
268428,81,5
268428,79,6
268428,92,8
268428,43,5
284385,84,9
284385,104,8
284385,90,7
284385,54,10
214427,21,10
214427,5,6
214427,33,10
214427,72,8
794857,28,9
794857,49,9
477853,91,4
477853,61,8
181489,76,6
181489,0,8
181489,67,6
381627,53,9
381627,39,4
381627,57,8
381627,31,5
632122,53,9
632122,11,9
632122,16,8
632122,30,6
825738,36,8
825738,101,5
825738,88,3
156964,24,9
156964,62,10
156964,26,4
156964,62,6
572653,61,5
572653,81,4
572653,64,9
572653,55,6
684591,44,10
684591,40,10
684591,26,10
456779,62,5
456779,88,7
456779,80,8
876496,104,5
876496,65,10
876496,28,3
781975,89,10
781975,98,3
487600,49,7
487600,65,4
487600,45,7
487600,59,7
513813,44,8
513813,18,8
513813,13,3
513813,81,7
883904,20,5
883904,72,8
883904,55,10
883904,54,9
834235,31,10
834235,30,10
834235,103,8
777522,50,8
777522,16,9
452280,87,5
452280,13,9
452280,34,4
452280,61,10
394818,22,9
394818,85,4
939129,55,4
939129,43,7
939129,70,4
939129,55,7
957901,83,6
957901,108,4
561479,51,4
561479,94,10
242669,43,3
242669,5,7
242669,93,9
395365,105,5
395365,9,6
862746,29,4
862746,81,5
862746,36,10
428182,70,4
428182,15,5
428182,10,7
428182,40,6
872190,74,8
872190,61,5
872190,2,6
522998,105,9
522998,28,3
522998,22,6
916779,9,8
916779,101,4
644869,28,5
644869,34,5
644869,47,3
644869,2,7
674596,89,4
674596,77,8
582337,76,4
582337,83,4
582337,57,6
582337,65,9
898599,108,8
898599,66,8
898599,89,10
898599,49,7
442451,14,8
442451,86,6
495593,62,10
495593,74,8
495593,84,9
495593,53,8
528871,20,10
528871,16,7
528871,36,4
810225,106,10
810225,6,10
810225,54,6
810225,104,10
493252,25,10
493252,100,10
493252,102,6
493252,75,9
864512,17,3
864512,30,8
173352,53,9
173352,21,5
189946,62,8
189946,20,9
919157,49,6
919157,82,10
919157,92,3
774363,20,3
774363,91,8
774363,75,6
271568,5,8
271568,11,6
271568,41,10
271568,4,7
928149,29,10
928149,105,10
751934,56,7
751934,85,6
751934,65,6
751934,52,3
216860,47,7
216860,47,9
216860,88,7
216860,42,4
556557,1,7
556557,100,6
424718,0,4
424718,93,5
424718,59,5
152077,77,4
152077,19,7
152077,74,8
440658,16,4
440658,90,10
126261,45,10
126261,57,9
382669,101,8
382669,74,3
802739,36,8
802739,38,5
802739,76,3
338844,22,6
338844,58,3
338844,44,7
325816,36,8
325816,46,9
755843,104,10
755843,45,8
755843,51,8
755843,98,4
357456,102,4
357456,96,9
357456,5,5
799876,45,3
799876,64,8
799876,60,4
799876,38,8
172050,63,9
172050,37,4
172050,104,5
172050,8,8
780651,26,9
780651,16,5
918713,80,8
918713,32,9
918713,103,8
918713,42,8
204887,103,9
204887,107,6
204887,89,5
831554,15,7
831554,100,3
831554,107,4
831554,64,9
180405,42,3
180405,32,9
180405,86,9
145785,108,7
145785,0,5
322172,37,5
322172,25,10
322172,90,4
322172,10,5
922325,73,3
922325,35,5
124113,86,3
124113,61,9
388346,84,8
388346,52,9
881374,84,3
881374,12,10
881374,64,5
524382,49,4
524382,51,9
524382,71,6
524382,76,5
947308,104,5
947308,66,7
947308,85,9
311530,0,6
311530,93,10
311530,14,3
390755,46,3
390755,102,9
390755,85,5
363332,74,6
363332,71,9
363332,82,10
363332,15,3
110760,75,3
110760,89,6
110046,2,3
110046,37,6
857609,87,5
857609,10,9
857609,10,5
753661,99,7
753661,24,9
753661,67,10
753661,70,9
228465,76,5
228465,37,4
228465,54,3
228465,68,9
407213,97,6
407213,66,8
857590,6,5
857590,71,4
388772,17,9
388772,109,9
388772,3,4
388772,14,8
222560,78,5
222560,15,7
222560,80,7
979060,2,5
979060,63,8
979060,59,7
979060,76,4
765646,69,4
765646,30,8
929746,99,10
929746,73,4
255473,75,3
255473,68,7
216324,34,8
216324,108,9
485223,77,5
485223,36,7
485223,6,5
444972,46,3
444972,69,7
444972,55,8
923543,72,5
923543,22,8
923543,70,4
923543,89,9
289766,68,4
289766,19,10
770668,36,6
770668,16,4
770668,75,7
718561,33,9
718561,109,10
718561,11,7
870182,109,10
870182,62,9
870182,57,7
870182,48,3
901322,57,10
901322,93,7
901322,101,5
847771,103,9
847771,47,9
847771,18,6
800784,0,4
800784,38,3
552294,100,5
552294,84,7
552294,27,5
379291,57,6
379291,104,5
379291,52,8
722325,76,8
722325,28,10
722325,50,7
722325,78,3
613865,63,5
613865,93,4
613865,53,8
613865,43,9
844629,52,4
844629,41,8
844629,30,10
844629,62,3
417023,64,7
417023,79,5
417023,11,8
361974,92,5
361974,91,9
361974,85,6
180343,56,5
180343,65,5
180343,6,6
680156,94,4
680156,69,8
680156,90,5
680156,46,8
879441,82,8
879441,2,7
879441,59,6
879441,81,5
112682,29,8
112682,79,3
112682,74,9
112682,75,8
853741,81,5
853741,91,4
853741,71,8
853741,38,4
205429,28,4
205429,52,8
205429,52,8
205429,13,5
815201,59,6
815201,64,9
815201,52,7
815201,0,5
130610,34,3
130610,36,8
895514,6,5
895514,63,8
895514,67,10
895514,103,8
198573,32,4
198573,9,3
254589,64,8
254589,69,10
671975,86,10
671975,78,10
671975,88,9
671975,96,10
651049,12,10
651049,83,6
651049,50,7
651049,51,4
335045,19,7
335045,60,4
533744,28,8
533744,96,8
533744,64,8
410396,29,10
410396,7,5
294631,103,6
294631,53,7
294631,60,9
428084,2,9
428084,62,3
428084,8,4
535857,63,4
535857,37,6
377920,95,10
377920,51,10
377920,5,5
377920,47,4
838001,68,9
838001,61,3
847439,77,5
847439,8,10
847439,67,5
847439,60,4
875165,101,8
875165,4,9
291221,83,6
291221,43,8
291221,72,7
291221,105,8
667212,81,8
667212,87,4
667212,46,6
667212,43,5
621564,46,9
621564,29,8
621564,18,7
621564,70,9
729987,85,3
729987,2,10
729987,97,8
729987,1,5
696468,109,10
696468,29,9
952296,12,6
952296,54,10
952296,40,6
952296,90,3
427071,103,4
427071,33,10
648945,21,5
648945,6,9
240194,92,6
240194,90,9
559692,43,7
559692,65,5
897031,12,3
897031,93,7
897031,51,10
987987,42,4
987987,79,8
987987,86,7
987987,19,8
656270,70,9
656270,93,6
656270,73,5
656270,30,9
645804,19,9
645804,61,4
257180,83,9
257180,83,6
257180,15,5
257180,71,3
946154,58,3
946154,92,6
290171,61,3
290171,25,6
290171,63,5
361007,59,5
361007,93,8
495408,50,7
495408,80,3
538351,79,8
538351,20,8
538351,77,10
538351,76,8
269711,77,4
269711,107,4
269711,22,7
269711,31,4
468549,67,4
468549,1,9
468549,16,5
468549,102,3
441074,51,7
441074,60,4
441074,51,5
441074,91,10
118705,4,9
118705,71,10
118705,0,3
294053,105,8
294053,10,4
294053,56,3
725970,73,8
725970,39,10
725970,30,3
725970,106,8
708108,72,8
708108,10,10
708108,2,6
397759,103,8
397759,33,6
397759,1,7
810521,38,10
810521,66,7
188397,73,3
188397,68,10
262867,73,4
262867,28,10
933411,96,4
933411,43,4
933411,50,7
926061,38,7
926061,105,8
926061,30,3
926061,40,4
280146,21,9
280146,90,7
280146,103,4
280146,87,8
900410,92,7
900410,21,7
900410,28,4
900410,71,8
478854,9,10
478854,80,5
478854,48,3
478854,29,3
764764,45,6
764764,87,10
764764,87,7
764764,70,10
979804,93,9
979804,77,9
163444,78,3
163444,2,3
637842,91,9
637842,6,5
235353,36,4
235353,91,8
687456,28,10
687456,80,6
687456,60,4
789712,103,5
789712,11,3
789712,9,4
789712,2,7
964856,90,4
964856,62,4
964856,75,8
964856,75,9
169919,62,4
169919,44,3
572769,63,5
572769,35,10
176490,14,3
176490,24,10
488803,8,4
488803,47,10
394626,45,3
394626,7,10
394626,44,6
338142,29,7
338142,3,8
338142,9,10
540163,91,8
540163,72,3
540163,13,8
540163,87,8
936231,87,9
936231,39,4
936231,108,6
936231,67,9
628317,109,8
628317,94,10
628317,70,10
628317,82,10
813524,64,4
813524,16,7
813524,94,3
813524,49,4
448452,100,4
448452,42,10
448452,69,7
448452,36,7
762607,6,3
762607,91,8
762607,18,5
762607,78,4
374829,69,4
374829,85,4
501243,95,3
501243,12,7
505152,25,5
505152,106,7
892758,61,6
892758,26,5
892758,74,10
676234,67,6
676234,58,10
676234,20,6
676234,30,7
599888,79,9
599888,75,7
599888,54,10
142162,96,8
142162,76,4
142162,50,10
795839,84,4
795839,92,10
795839,27,6
214187,54,7
214187,2,3
214187,73,9
565503,27,7
565503,1,4
286774,42,7
286774,18,6
551743,81,8
551743,4,9
153925,29,10
153925,89,10
153925,49,6
153925,86,10
658976,1,6
658976,97,8
658976,81,8
298002,42,6
298002,7,8
298002,10,9
511464,11,4
511464,28,7
921700,21,7
921700,55,5
921700,53,9
695645,77,5
695645,48,9
603211,33,6
603211,48,10
603211,58,6
577087,51,4
577087,50,8
577087,53,8
548103,101,5
548103,108,3
548103,58,8
549204,86,3
549204,10,3
549204,65,5
894800,77,3
894800,62,4
894800,41,5
894800,30,7
369909,69,9
369909,56,3
763226,58,10
763226,105,3
763226,58,8
763226,73,9
625089,94,6
625089,73,3
625089,40,3
625089,105,9
836860,65,6
836860,61,4
836860,52,7
836860,28,9
287200,50,5
287200,103,6
287200,92,3
287200,92,9
357775,66,4
357775,27,10
357775,58,10
357775,102,6
275507,35,10
275507,55,5
877104,94,3
877104,83,7
481472,52,3
481472,74,6
481472,55,9
481472,82,4
194187,68,4
194187,20,5
321540,72,5
321540,28,3
321540,31,4
321540,77,5
494721,58,3
494721,52,4
861391,42,5
861391,48,8
861391,79,7
390363,53,10
390363,7,5
263949,15,6
263949,92,6
263949,54,10
407675,80,5
407675,89,5
139155,63,6
139155,99,10
432928,54,4
432928,53,5
432928,53,8
432928,96,4
456096,56,9
456096,67,5
456096,6,8
456096,65,10
831584,34,7
831584,96,9
131230,25,9
131230,47,5
194566,63,6
194566,97,7
194566,25,6
802667,49,4
802667,87,9
802667,55,6
802667,1,4
255686,90,6
255686,98,6
255686,82,6
224409,4,3
224409,32,5
487927,7,3
487927,95,10
487927,81,9
880400,101,5
880400,95,5
880400,82,9
720340,19,10
720340,92,10
307680,79,5
307680,101,3
307680,7,7
138107,98,10
138107,72,10
862662,36,9
862662,44,8
862662,91,4
231609,100,6
231609,4,6
231609,46,6
605755,72,3
605755,15,7
481189,79,10
481189,8,9
517904,18,9
517904,91,6
517904,73,6
966917,72,7
966917,88,7
966917,78,4
966917,96,7
285399,0,10
285399,104,8
488695,15,10
488695,81,10
191784,9,9
191784,54,10
191784,95,9
642321,15,7
642321,107,3
642321,79,3
642321,33,8
609938,58,3
609938,86,4
875754,89,7
875754,52,8
875754,35,8
875754,48,4
468031,69,9
468031,21,5
471226,23,3
471226,61,10
274783,109,9
274783,25,5
274783,11,4
274783,92,4
768150,48,3
768150,42,8
556087,27,5
556087,50,4
954664,5,8
954664,106,10
954664,73,4
794278,65,8
794278,61,10
343319,60,3
343319,65,3
343319,56,9
966030,11,8
966030,5,9
966030,99,3
966030,34,10
731970,54,4
731970,8,5
731970,96,10
731970,58,3
455806,24,3
455806,98,4
449539,1,6
449539,69,10
449539,51,5
449539,67,8
369025,102,5
369025,60,6
369025,65,8
369025,43,9
766004,77,6
766004,0,6
158370,28,5
158370,2,6
395399,48,8
395399,66,3
684651,1,4
684651,13,5
177415,58,8
177415,80,9
177415,76,5
800094,49,7
800094,45,3
800094,68,6
501819,61,5
501819,60,9
501819,3,9
501819,97,10
137330,19,6
137330,100,6
899670,50,6
899670,1,7
751935,43,8
751935,11,4
944663,3,8
944663,41,3
648175,107,7
648175,58,10
556935,38,8
556935,51,4
556935,86,7
518037,82,9
518037,81,3
518037,30,9
518037,15,9
876128,0,8
876128,58,9
876128,63,8
876128,101,9
841208,59,5
841208,2,10
191192,37,8
191192,81,4
853231,22,7
853231,80,5
244467,42,5
244467,37,10
244467,14,8
244467,54,3
759809,62,6
759809,39,4
541460,46,7
541460,66,5
541460,79,10
379588,60,9
379588,99,7
546899,4,8
546899,28,10
890223,61,8
890223,34,5
108728,88,7
108728,35,3
921089,28,5
921089,4,8
921089,11,6
174088,41,7
174088,99,8
174088,91,5
246498,25,3
246498,62,8
126181,73,9
126181,49,9
490271,84,4
490271,58,7
490271,96,5
550042,107,4
550042,77,8
550042,21,3
550042,86,10
